,X,datum_id,time,DOD,RG_Proportion,Plant.ID,detector_read1,detector_read2,light_intensity,light_intensity_raw,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,angle_direction,pitch,roll,flatten.slope,ecs_initial,ecs_max,ecs_r_squared,ECSt,vH.,gH.,absorbance_530,absorbance_650,absorbance_605,absorbance_420,absorbance_940,absorbance_850,absorbance_730,absorbance_880,SPAD_530,SPAD_530_intensity,light2_raw1,light6_raw1,spad_raw1,light2_raw2,light6_raw2,spad_raw2,light2_raw3,light6_raw3,spad_raw3,SPAD_650,SPAD_650_intensity,SPAD_605,SPAD_605_intensity,SPAD_420,SPAD_420_intensity,SPAD_850,SPAD_850_intensity,SPAD_730,SPAD_730_intensity,SPAD_880,SPAD_880_intensity,baseline,Phi2,PhiNPQ,NPQt,PhiNO,qL,FvP.FmP,qP,LEF,FmPrime,Fs,FoPrime,RFd,ratio.MPF.noMPF..Phi2,ratio.MPF.noMPF..PhiNPQ,ratio.MPF.noMPF..PhiNO,MPF_slope,MPF_rsquared,Light.Intensity..PAR.,Leaf.Temp.Differential,Relative.Chlorophyll,Rel.Chl.intensity,Ambient.Temperature,Ambient.Humidity,Leaf.Angle,R,G,B,Phi2_MPF,PhiNPQ_MPF,NPQt_MPF,Phi2_noMPF,user_id,device_id,status,notes,latitude,longitude,Pot_Num.x,Spp,Trt.x,Block,Sensor,Trt3,TimePoint,Image,Pot_Num.y,Trt.y,Date,Tissue,Param,Blue,Green,Red,Total_Pix,ID_1,ID_2,ID_3,Red_Proportion,Green_Proportion,Blue_Proportion,Trt2
807,545,837516,5/19/18 10:31,18,0.019693021,121,13327,1631,177,323,24.6,55.770508,783.617554,24.49,55.671875,783.532166,22.43,0.16,E,90,4.41,SW,2.63,-3.55,0.0234,20274.43,20306.1,0.538961025,7.00E-04,3.73E-05,19.3744,NA,NA,1.802,NA,0.491,0.439,0.49,0.465,103.1,1,148,11705,176.11,655.5,42606,187.68,1436,42615,173.18,75.27,1,131.06,1,219.81,1,-5.27,1,-0.16,1,-2.67,1,569.5586073,0.371,0.225,0.556,0.405,0.188,0.758,0.489,29.525,16914.363,10644.4,4089,0.589,1.04678,0.91845,0.91074,-1697598.285,-0.792,177,-2.17,75.26801406,1,24.6,55.770508,4.41,187,88,78,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.3126723,-105.5848999,121,BRR5,Drought,18,N,Drought,./TP5_05192018,138_146_147_R500_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',13540,272,0,13812,138,146,147,0,0.019693021,0.980306979,DD
810,565,837496,5/19/18 10:31,18,0.152504039,104,8102,14330,74,120,24.219999,53.413086,783.032654,24.200001,53.882812,784.210632,22.19,2.11,E,90,10.04,NW,-5.37,-8.5,0.0639,28336.17,28315.29,0.477751243,0,0,0,0.697,0.849,0.783,0.845,0.551,0.521,0.556,0.54,14.6,1,3837,8408,29.8,24178.5,33381.5,22.73,53919.5,33392,6.34,9.81,1,23.23,1,29.35,1,-3.02,1,0.52,1,-1.09,1,474.6055461,0.008,0.988,234.08,0.004,0.394,0.02,0.399,0.27,4511.34,4474.7,4420,0.008,-1.34807,0.98305,0.30816,-317772.126,-0.881,74,-2.029999,9.807010634,1,24.219999,53.413086,10.04,70,32,28,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258381,-105.5849569,104,BRVT,Drought,14,N,Drought,./TP5_05192018,101_104_102_Turnip_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',15738,2832,0,18570,101,104,102,0,0.152504039,0.847495961,DD
811,565,837496,5/19/18 10:31,18,0.511800405,104,8102,14330,74,120,24.219999,53.413086,783.032654,24.200001,53.882812,784.210632,22.19,2.11,E,90,10.04,NW,-5.37,-8.5,0.0639,28336.17,28315.29,0.477751243,0,0,0,0.697,0.849,0.783,0.845,0.551,0.521,0.556,0.54,14.6,1,3837,8408,29.8,24178.5,33381.5,22.73,53919.5,33392,6.34,9.81,1,23.23,1,29.35,1,-3.02,1,0.52,1,-1.09,1,474.6055461,0.008,0.988,234.08,0.004,0.394,0.02,0.399,0.27,4511.34,4474.7,4420,0.008,-1.34807,0.98305,0.30816,-317772.126,-0.881,74,-2.029999,9.807010634,1,24.219999,53.413086,10.04,70,32,28,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258381,-105.5849569,104,BRVT,Drought,14,N,Drought,./TP5_05192018,102_Turnip_DD_Fm'_Old Leaf New leaf.bmp,102,DD,19-May,Leaf,Fm',4344,2632,1922,8898,102,NA,NA,0.216003596,0.295796808,0.488199595,DD
817,566,837495,5/19/18 10:32,18,0.942690707,9,9310,8315,117,194,24.24,53.154297,782.987793,24.23,53.625977,784.155518,22.57,0.45,E,90,5.81,S,5.81,0.18,0.064,28176.32,28231.02,0.585088796,0.001,2.34E-05,44.3298,0.921,1.24,0.99,1.733,0.475,0.408,0.335,0.448,44.67,1,1559.5,10028,76.55,9713,39824.5,70.01,21643.5,39823,53.63,28.22,1,51.5,1,125.89,1,-6.69,1,-13.99,1,-2.63,1,556.6539213,0.162,0.719,6.059,0.119,0.28,0.409,0.397,8.542,8068.307,6759.3,4770,0.194,1.03221,0.99159,0.98292,-211480.32,-0.986,117,-1.67,28.21977156,1,24.24,53.154297,5.81,114,52,46,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258163,-105.5849592,9,POTR,Drought,14,N,Drought,./TP5_05192018,23_22_6_Aspen_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',2066,17322,16662,36050,23,22,6,0.462191401,0.480499307,0.057309293,DD
829,547,837514,5/19/18 10:33,18,0.152504039,98,12822,282,180,328,25.16,54.672852,783.652039,25.030001,54.655273,783.581177,23.15,1.84,E,90,9.06,SE,7.53,5.04,0.0151,4962.69,4961.31,0.509119909,0,0,0,NA,NA,NA,NA,0.733,0.712,0.841,0.728,135.96,1,80.5,6709.5,178.39,195,24337.5,216.01,370,24343,207.75,76.27,1,165.86,1,198.18,1,-2.08,1,10.84,1,-0.55,1,540.8574827,0.005,0.989,157.625,0.006,0.169,0.03,0.173,0.419,4518.193,4494.8,4383,0.005,-1.02619,0.9877,0.65791,-223927.092,-0.93,180,-2.01,76.26977153,1,25.16,54.672852,9.06,190,89,79,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263332,-105.5849615,98,BRVT,Drought,7,N,Drought,./TP5_05192018,101_104_102_Turnip_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',15738,2832,0,18570,101,104,102,0,0.152504039,0.847495961,DD
830,547,837514,5/19/18 10:33,18,0.511800405,98,12822,282,180,328,25.16,54.672852,783.652039,25.030001,54.655273,783.581177,23.15,1.84,E,90,9.06,SE,7.53,5.04,0.0151,4962.69,4961.31,0.509119909,0,0,0,NA,NA,NA,NA,0.733,0.712,0.841,0.728,135.96,1,80.5,6709.5,178.39,195,24337.5,216.01,370,24343,207.75,76.27,1,165.86,1,198.18,1,-2.08,1,10.84,1,-0.55,1,540.8574827,0.005,0.989,157.625,0.006,0.169,0.03,0.173,0.419,4518.193,4494.8,4383,0.005,-1.02619,0.9877,0.65791,-223927.092,-0.93,180,-2.01,76.26977153,1,25.16,54.672852,9.06,190,89,79,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263332,-105.5849615,98,BRVT,Drought,7,N,Drought,./TP5_05192018,102_Turnip_DD_Fm'_Old Leaf New leaf.bmp,102,DD,19-May,Leaf,Fm',4344,2632,1922,8898,102,NA,NA,0.216003596,0.295796808,0.488199595,DD
842,569,837492,5/19/18 10:36,18,0.152504039,101,8581,729,113,185,24.09,56.25,783.070007,24.09,56.706055,784.238281,22.77,1.48,E,90,11.63,SW,9.59,-6.61,0.0442,15983.71,15975.66,0.735303398,0,0,0,NA,NA,NA,NA,0.602,0.576,0.606,0.565,139.65,1,60.5,7472.5,204.9,432.5,29571,192.21,928,29582,177.5,78.77,1,146.48,1,NA,NA,-2.66,1,0.33,1,-3.77,1,507.1396286,0.012,0.983,189.823,0.005,0.456,0.025,0.462,0.586,4899.021,4842.5,4777,0.012,-1.22636,0.97499,0.16753,-495678.789,-0.929,113,-1.32,78.77116975,1,24.09,56.25,11.63,108,49,44,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257725,-105.5849611,101,BRVT,Drought,19,N,Drought,./TP5_05192018,101_104_102_Turnip_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',15738,2832,0,18570,101,104,102,0,0.152504039,0.847495961,DD
843,569,837492,5/19/18 10:36,18,0.511800405,101,8581,729,113,185,24.09,56.25,783.070007,24.09,56.706055,784.238281,22.77,1.48,E,90,11.63,SW,9.59,-6.61,0.0442,15983.71,15975.66,0.735303398,0,0,0,NA,NA,NA,NA,0.602,0.576,0.606,0.565,139.65,1,60.5,7472.5,204.9,432.5,29571,192.21,928,29582,177.5,78.77,1,146.48,1,NA,NA,-2.66,1,0.33,1,-3.77,1,507.1396286,0.012,0.983,189.823,0.005,0.456,0.025,0.462,0.586,4899.021,4842.5,4777,0.012,-1.22636,0.97499,0.16753,-495678.789,-0.929,113,-1.32,78.77116975,1,24.09,56.25,11.63,108,49,44,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31257725,-105.5849611,101,BRVT,Drought,19,N,Drought,./TP5_05192018,102_Turnip_DD_Fm'_Old Leaf New leaf.bmp,102,DD,19-May,Leaf,Fm',4344,2632,1922,8898,102,NA,NA,0.216003596,0.295796808,0.488199595,DD
849,548,837513,5/19/18 10:36,18,0.942690707,22,12173,3666,211,383,24.969999,54.239258,783.658142,24.83,54.138672,783.538452,23.19,0.26,E,90,4.22,SE,3.57,2.25,8.8257,50993.6,52067.63,0.98716338,NA,NA,NA,0.612,0.711,0.715,0.704,0.372,0.334,0.297,0.289,23.99,1,5150,15398.5,33.86,33145,56222.5,29.33,65535,56230.5,19.28,12.77,1,34.26,1,33.2,1,-3.84,1,-7.57,1,-8.37,1,503.9722751,0.561,0.1,0.295,0.339,0.34,0.79,0.71,53.301,14675.788,6437.4,3079,1.28,1.07243,0.68652,0.67077,-5166013.293,-0.996,211,-1.779999,12.76801406,1,24.969999,54.239258,4.22,221,104,93,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263588,-105.5849283,22,POTR,Drought,17,Y,Drought,./TP5_05192018,23_22_6_Aspen_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',2066,17322,16662,36050,23,22,6,0.462191401,0.480499307,0.057309293,DD
852,570,837491,5/19/18 10:37,18,0.019693021,147,9266,802,156,257,24.35,55.161133,783.063232,24.34,55.691406,784.282471,22.33,0.86,E,90,9.5,NE,-3.74,8.74,0.0646,15751.01,15739.69,0.850928973,0,0,0,NA,NA,NA,NA,0.596,0.543,0.585,0.566,134.45,1,115.5,7582.5,177.45,725.5,30046,170.44,1583,30056.5,155,67.96,1,131.51,1,234.63,1,-5.32,1,-1.08,1,-2.96,1,553.6654043,0.008,0.988,262.852,0.004,0.456,0.018,0.46,0.587,5814.93,5766.3,5709,0.008,-1.17179,0.98146,0.15261,-437313.097,-0.924,156,-2.02,67.9598267,1,24.35,55.161133,9.5,150,68,61,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31258038,-105.5849625,147,BRR5,Drought,19,N,Drought,./TP5_05192018,138_146_147_R500_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',13540,272,0,13812,138,146,147,0,0.019693021,0.980306979,DD
855,549,837512,5/19/18 10:37,18,0.019693021,125,16088,169,142,257,25.43,53.859375,783.704834,25.299999,53.793945,783.583374,24.88,0.86,E,90,6.1,SW,4.07,-4.55,0.0109,2438.82,2436.66,0.390270054,0,0,0,NA,NA,NA,NA,0.857,0.851,0.929,0.845,137.05,1,88,5043.5,162.12,233.5,18240.5,195.66,461.5,18243,185.63,69.12,1,154.39,1,188.48,1,-0.65,1,7.17,1,-1.23,1,726.4770329,0.004,0.991,180.69,0.005,0.149,0.026,0.152,0.255,5331.783,5310.5,5192,0.004,-0.21634,0.97345,0.15765,-579121.706,-0.909,142,-0.55,69.12126538,1,25.43,53.859375,6.1,149,70,62,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263105,-105.5849265,125,BRR5,Drought,17,N,Drought,./TP5_05192018,138_146_147_R500_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',13540,272,0,13812,138,146,147,0,0.019693021,0.980306979,DD
858,550,837511,5/19/18 10:39,18,0.152504039,93,13383,254,130,236,25.530001,53.525391,783.743591,25.389999,53.564453,783.628601,23.81,2.08,E,90,5.09,NW,-3.6,-3.61,0.0179,4281.82,4277.93,0.499587444,0,0,0,NA,NA,NA,NA,0.801,0.791,0.828,0.753,132.81,1,71,5743,177.09,131,20815.5,226.5,218,20824,223.95,75.7,1,164.26,1,193.77,1,-0.97,1,2.76,1,-4.75,1,572.7413062,0.005,0.99,186.446,0.005,0.182,0.025,0.186,0.276,4802.926,4780.3,4681,0.005,-0.5531,0.98413,0.48079,-307331.338,-0.931,130,-1.720001,75.69859402,1,25.530001,53.525391,5.09,137,64,57,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263293,-105.5849204,93,BRVT,Drought,17,N,Drought,./TP5_05192018,101_104_102_Turnip_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',15738,2832,0,18570,101,104,102,0,0.152504039,0.847495961,DD
859,550,837511,5/19/18 10:39,18,0.511800405,93,13383,254,130,236,25.530001,53.525391,783.743591,25.389999,53.564453,783.628601,23.81,2.08,E,90,5.09,NW,-3.6,-3.61,0.0179,4281.82,4277.93,0.499587444,0,0,0,NA,NA,NA,NA,0.801,0.791,0.828,0.753,132.81,1,71,5743,177.09,131,20815.5,226.5,218,20824,223.95,75.7,1,164.26,1,193.77,1,-0.97,1,2.76,1,-4.75,1,572.7413062,0.005,0.99,186.446,0.005,0.182,0.025,0.186,0.276,4802.926,4780.3,4681,0.005,-0.5531,0.98413,0.48079,-307331.338,-0.931,130,-1.720001,75.69859402,1,25.530001,53.525391,5.09,137,64,57,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263293,-105.5849204,93,BRVT,Drought,17,N,Drought,./TP5_05192018,102_Turnip_DD_Fm'_Old Leaf New leaf.bmp,102,DD,19-May,Leaf,Fm',4344,2632,1922,8898,102,NA,NA,0.216003596,0.295796808,0.488199595,DD
868,552,837509,5/19/18 10:47,18,0.942690707,23,14829,4060,169,306,24.870001,54.169922,783.764526,24.719999,54.134766,783.638428,23.77,0.13,E,90,3.14,S,2.93,1.12,0.03,27220.06,27216.51,0.391934828,0,0,0,1.168,1.424,1.169,NA,0.582,0.546,0.459,0.56,58.63,1,997,9506.5,84.23,6283.5,34542.5,80.4,14166.5,34561,64.67,34.9,1,58.72,1,148.69,1,-3.62,1,-12.25,1,-2.2,1,654.9231401,0.004,0.991,196.238,0.005,0.164,0.024,0.168,0.308,4561.204,4542.7,4451,0.004,-0.22561,0.97396,0.10496,-486338.877,-0.909,169,-1.100001,34.89894552,1,24.870001,54.169922,3.14,177,83,74,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263168,-105.5849118,23,POTR,Drought,17,N,Drought,./TP5_05192018,23_22_6_Aspen_DD_Fm'.bmp,Multiple,DD,19-May,Leaf,Fm',2066,17322,16662,36050,23,22,6,0.462191401,0.480499307,0.057309293,DD
871,297,847302,5/29/18 9:54,28,0.356888096,81,10823,26382,48,80,22.99,50.509766,780.299683,22.84,50.248047,780.270142,22.23,0.47,E,90,5.44,NW,-4.58,-2.94,-0.0233,26419.86,26438.85,-0.128196332,0,0,0,0.392,0.425,0.519,0.404,0.418,0.382,0.156,0.338,-2.56,1,9942,13857.5,0.72,64565,50588.5,-4.21,64100.5,50597,15.66,-1.79,1,10.14,1,-1.43,1,-3.57,1,-26.22,1,-7.96,1,427.2464965,0.036,0.954,94.599,0.01,0.731,0.049,NA,0.777,1563.698,1507.4,1488,0.037,0.76181,1.01083,1.22407,65812.004,0.86,48,-0.76,-1.792618629,1,22.99,50.509766,5.44,46,21,19,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31261731,-105.5849198,81,ARTR,Drought,1,N,Drought,./TP6_05292018,81_73_86_Sage_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',5770,2314,888,8972,81,73,86,0.098974588,0.257913509,0.643111904,DD
874,337,847261,5/29/18 9:56,28,0.012967201,1,9267,5628,59,96,23.32,50.697266,779.659363,23.27,51.324219,780.775452,22.19,1.48,E,90,3.7,S,3.7,-0.18,0.3941,28095.28,29319.25,0.978690469,NA,NA,NA,1.062,1.062,0.954,1.62,0.561,0.519,0.459,0.54,50.13,1,2347.5,8219.5,50.15,14724,32595,43.24,32829,32599,26.85,17.82,1,39.31,1,105.94,1,-4.19,1,-10.19,1,-2.09,1,553.7333252,0.027,0.969,266.333,0.004,1.538,0.018,1.524,0.725,2620.851,2549.3,2574,0.028,2.05863,0.98284,0.20537,-176450.512,-0.96,59,-1.13,17.82197716,1,23.32,50.697266,3.7,56,26,23,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31264335,-105.5849185,1,POTR,Drought,13,N,Drought,./TP6_05292018,9_1_27_Aspen_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',12940,170,0,13110,9,1,27,0,0.012967201,0.987032799,DD
877,338,847260,5/29/18 9:57,28,0.356888096,90,7675,18728,47,74,23.59,50.695312,779.666382,23.549999,51.171875,780.848755,22.05,2.09,E,90,4.03,N,-3.98,0.66,0.0776,28596.79,28575.58,0.494648182,0,0,0,0.586,0.643,0.643,0.664,0.422,0.388,0.331,0.425,16.36,1,6168,11312.5,22.07,38916.5,45014,15.05,65535,45030,10.86,6.76,1,22.04,1,24.18,1,-3.44,1,-9.12,1,0.3,1,445.6033472,0.525,0.261,1.225,0.213,0.505,0.687,NA,11.113,7356.286,3491.1,2304,1.107,0.98472,1.03702,1.04508,761105.593,0.576,47,-1.54,6.762504923,1,23.59,50.695312,4.03,43,20,17,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31264849,-105.5848854,90,ARTR,Drought,13,N,Drought,./TP6_05292018,81_73_86_Sage_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',5770,2314,888,8972,81,73,86,0.098974588,0.257913509,0.643111904,DD
880,298,847301,5/29/18 9:57,28,0.532170325,43,11554,24271,59,103,23.58,51.053711,780.288879,23.440001,50.880859,780.192627,21.75,1.67,E,90,0.67,E,-0.18,0.65,-0.0131,26288.76,26550.49,-0.058582888,0.0027,2.74E-05,98.8979,0.355,0.395,0.539,0.421,0.301,0.286,0.375,0.342,5.42,1,10651,18149,9.44,65535,65535,6.39,63970.5,65535,26.98,2.04,1,23.79,1,11.98,1,-1.44,1,7.43,1,4.12,1,468.7920848,0.572,0.188,0.786,0.24,0.489,0.732,0.781,15.179,10952.322,4690.9,2934,1.335,1.02728,0.91154,0.89972,-1545496.317,-0.905,59,-1.83,2.038664323,1,23.58,51.053711,0.67,60,28,25,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31264116,-105.5849126,43,PIPO,Drought,1,N,Drought,./TP6_05292018,39_42_31_Pine_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',4988,3868,1806,10662,39,42,31,0.169386607,0.362783718,0.467829675,DD
883,339,847259,5/29/18 9:58,28,0.012967201,2,9273,2248,70,114,23.799999,50.828125,779.620056,23.76,51.325195,780.761169,22.33,1.45,E,90,7.51,S,7.42,-1.17,-0.0027,25887.76,25883.47,-0.032725968,0,0,0,1.48,NA,1.503,NA,0.642,0.606,0.595,0.625,83.75,1,494,6818,109.72,2961,26939.5,104.62,6576.5,26948,88.41,41.28,1,86.12,1,169.06,1,-3.6,1,-4.74,1,-1.67,1,554.1408502,0.014,0.98,162.974,0.006,0.47,0.029,0.478,0.435,2915.108,2874.9,2831,0.014,-1.78588,0.97421,0.2593,-299050.006,-0.952,70,-1.469999,41.28397007,1,23.799999,50.828125,7.51,66,31,27,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31265459,-105.5848798,2,POTR,Drought,12,N,Drought,./TP6_05292018,9_1_27_Aspen_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',12940,170,0,13110,9,1,27,0,0.012967201,0.987032799,DD
886,299,847300,5/29/18 9:58,28,0.012967201,8,14572,6518,53,90,23.82,50.981445,780.264526,23.68,50.791992,780.182739,21.99,0.09,E,90,8.84,S,8.65,1.83,0.0298,28471.71,28462.59,0.360918242,0,0,0,0.972,1.188,1.054,1.622,0.557,0.521,0.411,0.525,41.45,1,1718,10058,63.05,10987,36556.5,58.59,24807,36569.5,42.79,25.59,1,49.72,1,106.45,1,-3.6,1,-14.64,1,-3.2,1,640.3168253,0.008,0.985,145.039,0.007,0.232,0.032,0.238,0.184,3272.914,3247.7,3167,0.008,-0.39938,0.96803,0.17946,-426234.262,-0.917,53,-1.83,25.59314587,1,23.82,50.981445,8.84,52,24,22,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31258369,-105.5849649,8,POTR,Drought,12,N,Drought,./TP6_05292018,9_1_27_Aspen_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',12940,170,0,13110,9,1,27,0,0.012967201,0.987032799,DD
889,340,847258,5/29/18 9:59,28,0.356888096,64,9215,322,32,51,23.950001,51.192383,779.666565,23.93,51.755859,780.778809,21.91,4.07,E,90,11.25,NE,-4.64,10.26,-0.006,9244.71,9248.15,-0.162801556,0,0,0,NA,NA,NA,NA,1.464,1.432,1.759,1.476,76.1,2,145,1026.5,80.73,873.5,3888,73.57,1912.5,3889.5,57.98,29.28,2,55.25,2,90.34,2,1.96,2,41.73,2,3.29,2,550.2014415,0.557,0.203,0.844,0.24,0.475,0.726,NA,8.022,8271.687,3663.8,2268,1.258,0.97862,1.0708,1.0818,1239108.758,0.674,32,-2.040001,29.276818,2,23.950001,51.192383,11.25,30,14,12,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31264746,-105.5848842,64,ARTR,Drought,13,N,Drought,./TP6_05292018,81_73_86_Sage_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',5770,2314,888,8972,81,73,86,0.098974588,0.257913509,0.643111904,DD
892,300,847299,5/29/18 10:00,28,0.012967201,7,14577,4825,75,132,23.98,50.832031,780.233276,23.84,50.642578,780.144287,22.47,0.09,E,90,3.96,SE,3.2,2.32,0.0112,28250.66,28248.9,0.133319334,0,0,0,1.107,1.38,1.221,NA,0.556,0.522,0.474,0.535,55.07,1,1103,10082,82.39,6961,36631,78.5,15693.5,36643.5,62.76,34.09,1,66.48,1,130.84,1,-3.38,1,-8.26,1,-2.08,1,640.6009948,0.01,0.982,132.119,0.007,0.278,0.035,0.285,0.341,1793.834,1775.7,1730,0.01,-0.6522,0.9696,0.28659,-221454.655,-0.92,75,-1.51,34.09050967,1,23.98,50.832031,3.96,76,36,32,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31260895,-105.584966,7,POTR,Drought,12,N,Drought,./TP6_05292018,9_1_27_Aspen_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',12940,170,0,13110,9,1,27,0,0.012967201,0.987032799,DD
895,341,847257,5/29/18 10:00,28,0.532170325,36,7203,13313,69,111,24.129999,51.344727,779.659851,24.110001,51.874023,780.786255,22.09,1.64,E,90,1.86,N,-1.86,0.18,-0.0731,28151.25,28182.72,-0.510172138,0,0,0,0.731,0.717,0.718,0.75,0.366,0.34,0.248,0.351,36.5,1,5196.5,12871,35.12,33120,51366,27.79,65535,51380,16.59,11.9,1,35.22,1,38.42,1,-2.65,1,-11.79,1,-1.47,1,413.5447105,0.613,0.185,0.919,0.202,0.623,0.718,0.854,19.029,12612.74,4883.1,3560,1.583,1.02272,0.91873,0.90603,-1704810.162,-0.83,69,-2.039999,11.90232375,1,24.129999,51.344727,1.86,65,29,26,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31263369,-105.5848885,36,PIPO,Drought,12,N,Drought,./TP6_05292018,39_42_31_Pine_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',4988,3868,1806,10662,39,42,31,0.169386607,0.362783718,0.467829675,DD
898,301,847298,5/29/18 10:01,28,0.356888096,61,8615,47361,63,109,24.1,51.390625,780.257019,23.969999,51.233398,780.161377,22.39,0.92,E,90,4.2,SW,3.4,-2.46,0.0771,22186.32,22195.08,0.233890273,NA,NA,NA,0.134,0.156,0.246,0.161,0.145,0.128,0.045,0.138,-1.1,1,18464.5,25986,1.14,65049.5,65535,6.71,55474.5,65535,33.17,-1.61,1,10.08,1,1.57,1,-1.74,1,-10.01,1,-0.72,1,301.7572232,0.685,0.071,0.289,0.245,0.574,0.791,0.866,19.41,4244.897,1338.6,887,2.171,1.00473,0.94797,0.94541,-69190.758,-0.108,63,-1.71,-1.608084359,1,24.1,51.390625,4.2,63,29,26,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31263393,-105.5849462,61,ARTR,Drought,1,N,Drought,./TP6_05292018,81_73_86_Sage_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',5770,2314,888,8972,81,73,86,0.098974588,0.257913509,0.643111904,DD
901,342,847256,5/29/18 10:01,28,0.012967201,3,7634,4341,79,130,24.24,51.291016,779.601746,24.219999,51.77832,780.759705,22.63,2.43,E,90,9.99,W,3.67,-9.3,-0.0583,29079.39,29099.29,-0.571375996,0,0,0,1.181,1.072,1.053,1.67,0.63,0.595,0.5,0.59,55.14,1,2296,7011.5,44.21,14425.5,27753.5,37.15,32149.5,27756,20.77,15.48,1,42.32,1,103.97,1,-3.49,1,-13.01,1,-4.03,1,442.8185927,0.025,0.974,764.371,0.001,4.019,0.006,3.943,0.888,800.855,780.8,796,0.026,5.26578,0.97557,-2.20033,-77093.854,-0.967,79,-1.61,15.48247341,1,24.24,51.291016,9.99,76,35,31,NA,NA,NA,NA,1865,01:12:37:24,submitted,,41.31263356,-105.584889,3,POTR,Drought,12,N,Drought,./TP6_05292018,9_1_27_Aspen_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',12940,170,0,13110,9,1,27,0,0.012967201,0.987032799,DD
904,302,847297,5/29/18 10:02,28,0.532170325,55,11628,18651,78,137,24.219999,51.571289,780.260498,24.09,51.478516,780.180237,22.39,1.8,E,90,11.32,SW,9.93,-5.47,-0.075,30965.31,31147.67,-0.193576219,NA,NA,NA,0.52,0.567,0.608,0.625,0.348,0.335,0.467,0.423,17.23,1,7167,16290.5,21.96,46562.5,59560.5,17.08,64494.5,59617.5,22.52,7.54,1,26.03,1,27.71,1,-1.27,1,11.94,1,7.49,1,472.9977941,0.388,0.492,4.1,0.12,0.662,0.489,NA,13.606,6691.058,4097.3,3419,0.633,0.9229,1.07315,1.13084,1828886.351,0.639,78,-1.829999,7.539543058,1,24.219999,51.571289,11.32,79,37,33,NA,NA,NA,NA,1865,01:12:38:85,submitted,,41.31261341,-105.5849543,55,PIPO,Drought,1,N,Drought,./TP6_05292018,39_42_31_Pine_DD_Fm'.bmp,Multiple,DD,29-May,Leaf,Fm',4988,3868,1806,10662,39,42,31,0.169386607,0.362783718,0.467829675,DD
